145.32	123.79
145.32	123.79
162	73.66
152.36	73.88
151.68	83.077
147.82	91.717
147.84	87.821
147.61	91.941
148.68	84.008
148.48	87.173
147.05	94.811
150.68	83.152
149.05	83.367
146.35	100.44
146.31	102.48
146.16	103.01
146.64	97.251
146.58	99.004
146.09	104.68
145.34	121.02
145.32	123.06
145.4	117.43
146.81	96.476
145.89	106.75
145.4	118.61
146.88	95.359
145.35	119.8
145.34	122.02
145.86	107.69
148.69	83.955
146.45	99.998
148.31	87.459
145.89	106.5
145.33	122.24
146.46	99.206
145.5	114.66
145.69	110.06
147.88	87.644
145.57	112.57
145.99	105.22
145.94	105.87
145.5	114.01
145.37	119.26
145.32	123.59
145.75	108.94
145.71	109.57
146.72	97.037
145.56	113.05
145.78	108.25
145.45	115.89
145.74	109.42
145.34	120.45
146.8	96.509
145.47	115.18
146.01	104.8
145.61	112
147.05	94.811
145.34	120.45
145.99	105.59
145.48	114.86
146.19	102.61
145.67	111
145.41	117.32
146.39	100.11
145.53	113.88
145.85	108.12
145.62	111.57
145.78	108.73
145.53	113.51
145.67	110.64
145.43	116.92
145.44	116.48
145.46	115.48
145.39	118.63
148.41	87.235
145.59	112.26
145.69	110.41
145.85	107.79
145.43	116.84
145.45	116.33
145.37	119.06
145.46	115.67
145.63	111.31
146.89	95.338
145.56	113.24
145.63	111.14
146.9	95.016
146.98	94.837
145.98	105.77
146.51	99.143
146.72	97.117
145.56	113.41
145.6	112.16
145.62	111.51
146.9	95.009
148.48	87.173
146.25	102.55
145.68	110.5
145.33	122.15
145.76	108.74
